"","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20","5/26/20","5/27/20","5/28/20","5/29/20","5/30/20","5/31/20","6/1/20","6/2/20","6/3/20","6/4/20","6/5/20","6/6/20"
"1","Brunei",4.5353,114.7277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.00793650793650794,0.0078740157480315,0.00775193798449612,0.00763358778625954,0.0075187969924812,0.00746268656716418,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.0072992700729927,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.0072463768115942,0.00719424460431655,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206,0.0141843971631206
"2","Cambodia",11.55,104.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Indonesia",-0.7893,113.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.0294117647058824,0.0579710144927536,0.0520833333333333,0.0427350427350427,0.0373134328358209,0.0290697674418605,0.0837004405286344,0.0803858520900322,0.0867208672086721,0.0844444444444444,0.0933852140077821,0.0846286701208981,0.0801749271137026,0.0734177215189873,0.0873460246360582,0.0831739961759082,0.0883116883116883,0.088715953307393,0.0862800565770863,0.0890052356020942,0.0936195587358378,0.0949720670391061,0.0911379657603223,0.0913001912045889,0.0871095468543775,0.0839020473705339,0.0807158509861213,0.081190798376184,0.0850288490737929,0.087129840546697,0.0851119208745445,0.087950954963452,0.0875576036866359,0.0948543087414755,0.091316199376947,0.0899202320522118,0.087793347965558,0.0856274007682458,0.0885171102661597,0.0872781065088757,0.0863349684653118,0.0856025882987328,0.0832154340836013,0.0839118255998051,0.0836528407110491,0.083652330556181,0.0841029023746702,0.0812743139522658,0.0802374373145021,0.0782763391974699,0.0758221969481566,0.0766393064650005,0.0755003573981415,0.0745663243289894,0.0722392510976721,0.0719569062550249,0.0727927363807138,0.0719188529591214,0.0702821546353976,0.0693415051311288,0.0694707325622152,0.0682758153095125,0.0665889363907242,0.0651630638510559,0.0652279340446169,0.0639647577092511,0.0655475619504396,0.066129927817879,0.0660142733564014,0.0647245817916515,0.0633865687927785,0.0637622619734564,0.0621292251092205,0.0616047775133582,0.0611428571428571,0.0612130369091302,0.0617584168378684,0.0609666639497922,0.0602791878172589,0.0610328638497653,0.060930004155177,0.060913140311804,0.0603651675196922,0.0601423865689087,0.0597196196821431,0.0599573185190204,0.0590220882217998
"4","Malaysia",2.5,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297176820208024,0.00253164556962025,0.00222222222222222,0.0029126213592233,0.00338123415046492,0.00765696784073507,0.00922266139657444,0.00985221674876847,0.0111358574610245,0.0113244707040867,0.012031466913466,0.0116379310344828,0.01417004048583,0.0140898705255141,0.0155459146782357,0.015474552957359,0.0160462130937099,0.0159015901590159,0.016365202411714,0.0166575641725833,0.0163459003427366,0.0158970476911431,0.0157805292546735,0.0158467360454115,0.0161067648412333,0.0161147902869757,0.0162289130898996,0.015985052937513,0.0164427511529978,0.0163643533123028,0.0162099575453493,0.0163778327937536,0.0165881244109331,0.0165151233995175,0.0164055299539171,0.0167821962787304,0.0168112798264642,0.0169552025700518,0.0168687401159726,0.0170672239637757,0.0169550173010381,0.0170103092783505,0.0170910955392241,0.0168208578637511,0.0169943352215928,0.0169659034755394,0.0166774611398964,0.0166719593521753,0.0165276247442153,0.0166066113112956,0.0166459240821406,0.016545538889748,0.0163733741392502,0.0163909546213386,0.0162259615384615,0.0162057686589355,0.0161673094037378,0.0163740964744063,0.0164246957031823,0.0163384390955507,0.0164435389988359,0.0163910646939368,0.0162800749171589,0.0163370593293207,0.0162648023969182,0.0161495962600935,0.0161132128345243,0.0160055671537926,0.0158730158730159,0.0155049211271404,0.0151236191478169,0.0150938443365271,0.0150740595097654,0.014873254009312,0.0148157691316671,0.0147077631410666,0.0146366297569047,0.014599466802082,0.0144291091593476,0.0139444646538135,0.0140333897894992,0.0140912923039865
"5","Philippines",13,122,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.166666666666667,0.1,0.05,0.0303030303030303,0.0204081632653061,0.0384615384615385,0.078125,0.0720720720720721,0.0785714285714286,0.0845070422535211,0.0641711229946524,0.0940594059405941,0.0783410138248848,0.0782608695652174,0.0618892508143322,0.0657894736842105,0.0714285714285714,0.0634057971014493,0.059748427672956,0.0636492220650637,0.0672478206724782,0.0632558139534884,0.0500705218617771,0.0504527813712807,0.0422264875239923,0.0415404586758979,0.040638055450057,0.0450629555997349,0.0465416936005171,0.0468268638324091,0.0445355191256831,0.0470244420828905,0.0470284237726098,0.0498037291462218,0.0526817640047676,0.0557813911472448,0.0638984509466437,0.0638686131386861,0.0641393834960751,0.06400146708234,0.0639575971731449,0.0658387206532834,0.0652209627074092,0.0653459019012622,0.0662641275739279,0.0662221548719503,0.066467958271237,0.0661796304254405,0.0663236929922136,0.0677268988209487,0.0661037076131416,0.0657065706570657,0.0665996481528022,0.0679493424257185,0.0669180018850141,0.0660054719562243,0.0675403225806452,0.0658137265531823,0.0656826568265683,0.0657786038826931,0.0657736905237905,0.0662283670115054,0.0665201185128548,0.0663524976437323,0.0666110802297573,0.0654880028865235,0.0661674008810573,0.0664486142193149,0.066520714045133,0.0666611529236622,0.066395774075579,0.065851514424998,0.0653404623368454,0.064673157162726,0.0636865592617805,0.0629745422063421,0.0630286092520409,0.0626406329389562,0.0618453865336658,0.0609679446888749,0.0603994819006067,0.0600704365738587,0.0590839107005389,0.0566309967536371,0.0551555968416163,0.0529138560212319,0.051507672497049,0.0508501342317208,0.0493214502734454,0.0482778922578746,0.0478522253466499,0.0465791940018744
"6","Singapore",1.2833,103.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462962962962963,0.0043956043956044,0.00392927308447937,0.003584229390681,0.00316957210776545,0.00292825768667643,0.00273224043715847,0.00249376558603491,0.00355450236966825,0.00341296928327645,0.00323974082073434,0.003,0.00381315538608198,0.00448833034111311,0.00504625735912532,0.00458365164247517,0.00436363636363636,0.00405131667792032,0.00369685767097967,0.0031413612565445,0.00332068311195446,0.00347977381470204,0.00315955766192733,0.00308430431802605,0.0030750307503075,0.00270343336036767,0.00225886604924328,0.00217821782178218,0.00183578104138852,0.00166970248937462,0.00137259795358123,0.00120547945205479,0.00118331525490583,0.00107353730542136,0.000993788819875776,0.000945402978019381,0.000880798590722255,0.000970671843583166,0.000936392214567587,0.000895083434563008,0.000927701156534108,0.000935617800128647,0.00096877136995669,0.000988739357319418,0.000958568537650442,0.000927357032457496,0.000990197049212793,0.00095515545154974,0.000921361772700051,0.000890471950133571,0.00085704490915324,0.000881538074049198,0.000851201815897207,0.000828533101870118,0.000804659360870565,0.000780930422818043,0.000804211141979822,0.00078464940437977,0.00077620576509191,0.000764048065569216,0.000749216727966217,0.00077150140882866,0.000755932426214422,0.000740311574610532,0.00072747975708502,0.000719649561952441,0.000711127601026497,0.000699598491300645,0.000691750127823393,0.000679267572356763,0.000669266135133562,0.000659328058708864,0.000680040802448147,0.000669717602410983,0.000659250103007829,0.000650018958886301,0.00064545625689159,0.000666187012018014
"7","Thailand",15,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0.0232558139534884,0.0232558139534884,0.0232558139534884,0.0212765957446809,0.0208333333333333,0.02,0.02,0.02,0.0188679245283019,0.0169491525423729,0.0142857142857143,0.0133333333333333,0.0121951219512195,0.0087719298245614,0.00680272108843537,0.00564971751412429,0.00471698113207547,0.00367647058823529,0.0031055900621118,0.0024330900243309,0.00166944908180301,0.0013869625520111,0.00483675937122128,0.00428265524625268,0.00382775119617225,0.00440140845070423,0.00481927710843374,0.00504322766570605,0.00590551181102362,0.00605693519079346,0.00677583286278938,0.008,0.0096056622851365,0.00967585873246251,0.0106039649608114,0.0117117117117117,0.0119574844995571,0.0126635711270578,0.0132067684688403,0.0133441164577436,0.0138999205718824,0.0148961191689534,0.0155098875533152,0.0156907768848067,0.0162693908437382,0.0172155688622754,0.0174074074074074,0.0171972191730699,0.016998191681736,0.0168338108882522,0.0170757737459979,0.0173389950460014,0.017611835153223,0.0175438596491228,0.0175438596491228,0.0174537987679671,0.017741385192767,0.0183798502382573,0.0183237190363081,0.018280297901151,0.0182432432432432,0.0182063385030344,0.0181879420680364,0.0180783394710412,0.0180722891566265,0.0184008029441285,0.0183823529411765,0.0183333333333333,0.018641810918775,0.0186108341641741,0.0185737976782753,0.0185614849187935,0.0185614849187935,0.0185553346587144,0.0185123966942149,0.0185123966942149,0.0184940554821664,0.0184757505773672,0.0184635674249918,0.018457481872116,0.0184392492591373,0.0184392492591373,0.0184210526315789,0.0184210526315789,0.0187376725838264,0.0187192118226601,0.018664047151277,0.0185970636215334,0.0185305591677503,0.0185245368865778,0.0185004868549172,0.018494484101233,0.0188128446318521,0.0188067444876783,0.018703643985811,0.0186976144422953,0.0186855670103093
"8","Vietnam",16,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Laos",19.85627,102.495496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Burma",21.9162,95.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0.05,0.05,0.0476190476190476,0.0476190476190476,0.0454545454545455,0.0454545454545455,0.136363636363636,0.130434782608696,0.111111111111111,0.0789473684210526,0.0975609756097561,0.0645161290322581,0.0634920634920635,0.0540540540540541,0.0470588235294118,0.0454545454545455,0.0510204081632653,0.045045045045045,0.0420168067226891,0.0413223140495868,0.040650406504065,0.0359712230215827,0.0347222222222222,0.0342465753424658,0.0342465753424658,0.0342465753424658,0.0333333333333333,0.04,0.0397350993377483,0.0397350993377483,0.0397350993377483,0.0387096774193548,0.0372670807453416,0.0372670807453416,0.0372670807453416,0.0340909090909091,0.0338983050847458,0.0337078651685393,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0331491712707182,0.0331491712707182,0.032967032967033,0.032967032967033,0.0326086956521739,0.031413612565445,0.0310880829015544,0.0301507537688442,0.0301507537688442,0.0301507537688442,0.0298507462686567,0.0298507462686567,0.0295566502463054,0.029126213592233,0.029126213592233,0.029126213592233,0.0289855072463768,0.0267857142857143,0.0267857142857143,0.0263157894736842,0.0258620689655172,0.0257510729613734,0.0254237288135593,0.0254237288135593,0.025
