Date,Country,Confirmed,Recovered,Deaths
1/22/20,Brunei,0,0,0
1/23/20,Brunei,0,0,0
1/24/20,Brunei,0,0,0
1/25/20,Brunei,0,0,0
1/26/20,Brunei,0,0,0
1/27/20,Brunei,0,0,0
1/28/20,Brunei,0,0,0
1/29/20,Brunei,0,0,0
1/30/20,Brunei,0,0,0
1/31/20,Brunei,0,0,0
2/1/20,Brunei,0,0,0
2/2/20,Brunei,0,0,0
2/3/20,Brunei,0,0,0
2/4/20,Brunei,0,0,0
2/5/20,Brunei,0,0,0
2/6/20,Brunei,0,0,0
2/7/20,Brunei,0,0,0
2/8/20,Brunei,0,0,0
2/9/20,Brunei,0,0,0
2/10/20,Brunei,0,0,0
2/11/20,Brunei,0,0,0
2/12/20,Brunei,0,0,0
2/13/20,Brunei,0,0,0
2/14/20,Brunei,0,0,0
2/15/20,Brunei,0,0,0
2/16/20,Brunei,0,0,0
2/17/20,Brunei,0,0,0
2/18/20,Brunei,0,0,0
2/19/20,Brunei,0,0,0
2/20/20,Brunei,0,0,0
2/21/20,Brunei,0,0,0
2/22/20,Brunei,0,0,0
2/23/20,Brunei,0,0,0
2/24/20,Brunei,0,0,0
2/25/20,Brunei,0,0,0
2/26/20,Brunei,0,0,0
2/27/20,Brunei,0,0,0
2/28/20,Brunei,0,0,0
2/29/20,Brunei,0,0,0
3/1/20,Brunei,0,0,0
3/2/20,Brunei,0,0,0
3/3/20,Brunei,0,0,0
3/4/20,Brunei,0,0,0
3/5/20,Brunei,0,0,0
3/6/20,Brunei,0,0,0
3/7/20,Brunei,0,0,0
3/8/20,Brunei,0,0,0
3/9/20,Brunei,1,0,0
3/10/20,Brunei,1,0,0
3/11/20,Brunei,11,0,0
3/12/20,Brunei,11,0,0
3/13/20,Brunei,37,0,0
3/14/20,Brunei,40,0,0
3/15/20,Brunei,50,0,0
3/16/20,Brunei,54,0,0
3/17/20,Brunei,56,0,0
3/18/20,Brunei,68,0,0
3/19/20,Brunei,75,0,0
3/20/20,Brunei,78,1,0
3/21/20,Brunei,83,2,0
3/22/20,Brunei,88,2,0
3/23/20,Brunei,91,2,0
3/24/20,Brunei,104,2,0
3/25/20,Brunei,109,2,0
3/26/20,Brunei,114,5,0
3/27/20,Brunei,115,11,0
3/28/20,Brunei,120,25,1
3/29/20,Brunei,126,34,1
3/30/20,Brunei,127,38,1
3/31/20,Brunei,129,45,1
4/1/20,Brunei,131,52,1
4/2/20,Brunei,133,56,1
4/3/20,Brunei,134,65,1
4/4/20,Brunei,135,66,1
4/5/20,Brunei,135,73,1
4/6/20,Brunei,135,82,1
4/7/20,Brunei,135,85,1
4/8/20,Brunei,135,91,1
4/9/20,Brunei,135,92,1
4/10/20,Brunei,136,99,1
4/11/20,Brunei,136,104,1
4/12/20,Brunei,136,106,1
4/13/20,Brunei,136,107,1
4/14/20,Brunei,136,107,1
4/15/20,Brunei,136,108,1
4/16/20,Brunei,136,108,1
4/17/20,Brunei,136,112,1
4/18/20,Brunei,137,113,1
4/19/20,Brunei,138,115,1
4/20/20,Brunei,138,116,1
4/21/20,Brunei,138,116,1
4/22/20,Brunei,138,117,1
4/23/20,Brunei,138,119,1
4/24/20,Brunei,138,120,1
4/25/20,Brunei,138,121,1
4/26/20,Brunei,138,123,1
4/27/20,Brunei,138,124,1
4/28/20,Brunei,138,124,1
4/29/20,Brunei,138,124,1
4/30/20,Brunei,138,124,1
5/1/20,Brunei,138,124,1
5/2/20,Brunei,138,126,1
5/3/20,Brunei,138,128,1
5/4/20,Brunei,138,130,1
5/5/20,Brunei,138,131,1
5/6/20,Brunei,139,131,1
5/7/20,Brunei,141,131,1
5/8/20,Brunei,141,132,1
5/9/20,Brunei,141,132,1
5/10/20,Brunei,141,134,1
5/11/20,Brunei,141,134,1
5/12/20,Brunei,141,134,1
5/13/20,Brunei,141,134,1
5/14/20,Brunei,141,134,1
5/15/20,Brunei,141,135,1
5/16/20,Brunei,141,136,1
5/17/20,Brunei,141,136,1
5/18/20,Brunei,141,136,1
5/19/20,Brunei,141,136,1
5/20/20,Brunei,141,136,1
5/21/20,Brunei,141,136,1
5/22/20,Brunei,141,136,1
5/23/20,Brunei,141,136,1
5/24/20,Brunei,141,137,1
5/25/20,Brunei,141,137,1
5/26/20,Brunei,141,137,1
5/27/20,Brunei,141,137,2
5/28/20,Brunei,141,138,2
5/29/20,Brunei,141,138,2
5/30/20,Brunei,141,138,2
5/31/20,Brunei,141,138,2
6/1/20,Brunei,141,138,2
6/2/20,Brunei,141,138,2
6/3/20,Brunei,141,138,2
6/4/20,Brunei,141,138,2
6/5/20,Brunei,141,138,2
6/6/20,Brunei,141,138,2
6/7/20,Brunei,141,138,2
6/8/20,Brunei,141,138,2
6/9/20,Brunei,141,138,2
1/22/20,Burma,0,0,0
1/23/20,Burma,0,0,0
1/24/20,Burma,0,0,0
1/25/20,Burma,0,0,0
1/26/20,Burma,0,0,0
1/27/20,Burma,0,0,0
1/28/20,Burma,0,0,0
1/29/20,Burma,0,0,0
1/30/20,Burma,0,0,0
1/31/20,Burma,0,0,0
2/1/20,Burma,0,0,0
2/2/20,Burma,0,0,0
2/3/20,Burma,0,0,0
2/4/20,Burma,0,0,0
2/5/20,Burma,0,0,0
2/6/20,Burma,0,0,0
2/7/20,Burma,0,0,0
2/8/20,Burma,0,0,0
2/9/20,Burma,0,0,0
2/10/20,Burma,0,0,0
2/11/20,Burma,0,0,0
2/12/20,Burma,0,0,0
2/13/20,Burma,0,0,0
2/14/20,Burma,0,0,0
2/15/20,Burma,0,0,0
2/16/20,Burma,0,0,0
2/17/20,Burma,0,0,0
2/18/20,Burma,0,0,0
2/19/20,Burma,0,0,0
2/20/20,Burma,0,0,0
2/21/20,Burma,0,0,0
2/22/20,Burma,0,0,0
2/23/20,Burma,0,0,0
2/24/20,Burma,0,0,0
2/25/20,Burma,0,0,0
2/26/20,Burma,0,0,0
2/27/20,Burma,0,0,0
2/28/20,Burma,0,0,0
2/29/20,Burma,0,0,0
3/1/20,Burma,0,0,0
3/2/20,Burma,0,0,0
3/3/20,Burma,0,0,0
3/4/20,Burma,0,0,0
3/5/20,Burma,0,0,0
3/6/20,Burma,0,0,0
3/7/20,Burma,0,0,0
3/8/20,Burma,0,0,0
3/9/20,Burma,0,0,0
3/10/20,Burma,0,0,0
3/11/20,Burma,0,0,0
3/12/20,Burma,0,0,0
3/13/20,Burma,0,0,0
3/14/20,Burma,0,0,0
3/15/20,Burma,0,0,0
3/16/20,Burma,0,0,0
3/17/20,Burma,0,0,0
3/18/20,Burma,0,0,0
3/19/20,Burma,0,0,0
3/20/20,Burma,0,0,0
3/21/20,Burma,0,0,0
3/22/20,Burma,0,0,0
3/23/20,Burma,0,0,0
3/24/20,Burma,0,0,0
3/25/20,Burma,0,0,0
3/26/20,Burma,0,0,0
3/27/20,Burma,8,0,0
3/28/20,Burma,8,0,0
3/29/20,Burma,10,0,0
3/30/20,Burma,14,0,0
3/31/20,Burma,15,0,1
4/1/20,Burma,15,0,1
4/2/20,Burma,20,0,1
